Q1,Q1_8_TEXT,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q7A,Q7B,Q10,Q11,Q12,Q12_10_TEXT,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_10_TEXT,Q13_11,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q17,Q18,Q18_4_TEXT,Q19,Q19A,Q19A_13_TEXT,Q19B,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q20_7,Q20_8,Q20_9,Q20_10,Q20_11,Q21A_11,Q21A_12,Q21A_13,Q21A_14,Q21A_15,Q21A_16,Q21A_17,Q21A_18,Q21A_19,Q21A_20,Q21A_21,Q21B,Q21B_13_TEXT,Q22,Q22_11_TEXT,Q23,Q23_7_TEXT,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q24_8,Q24_9,Q24_10,Q24_11,Q24_12,Q24_13
Delhi NCR,,Male,18–25,Single,"Refrigerator,Washing Machine,AC,PC / Laptop,Car,2-Wheeler,Smartphones",Graduate / PG – Professional,Working (full-time),>₹2L,Iphone 15,F,6,ebay,"cashify
","Cashify,OLX,Quickr,Amazon Exchange,Flipkart Exchange",,Social media ad (Instagram/Facebook),Social media ad (Instagram/Facebook),Social media ad (Instagram/Facebook),,,,,Social media ad (Instagram/Facebook),Social media ad (Instagram/Facebook),,,,Heard a lot but never considered using it,Heard a lot but never considered using it,Heard a lot but never considered using it,Heard a lot but never considered using it,Heard a lot but never considered using it,Heard a lot but never considered using it,Heard a lot but never considered using it,Heard a lot but never considered using it,Heard a lot but never considered using it,I might consider it,I might consider it,I might consider it,I might consider it,I might consider it,I might consider it,I might consider it,I might consider it,I might consider it,7,8,4,3,3,2,2,2,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Instant payment,Technician checks phone in front of me (NEW – Transparency Trust),Formal Data Wiping Certificate (NEW – Process Trust),Safe location / Meet-at-store,Verified platform / official brand,Price quote matches final value,No negotiation,App rating/reviews,Customer support,Buyback guarantee",,"Data theft / privacy,Stranger coming home,Payment delay,Negotiation stress,Fraudulent buyer,Low price,Other",,1,,,2,,3,,,,,,,
Delhi NCR,,Female,26–35,Single,"Refrigerator,Washing Machine,AC,PC / Laptop,Car,2-Wheeler,Smartphones",Graduate / PG – General,Student,>₹2L,iPhone 14,F,6,Amazon,Olx,"Cashify,OLX,Flipkart reset,Amazon Exchange,Flipkart Exchange",,Social media ad (Instagram/Facebook),Google search,,Google search,,,,Google search,Google search,,,,Have considered using it but never used,Have considered using it but never used,Never heard of it,Never heard of it,Never heard of it,Never heard of it,Have considered using it but never used,Have considered using it but never used,Have considered using it but never used,I might consider it,I might consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,I might consider it,I might consider it,5,6,2,2,0,0,0,8,6,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Formal Data Wiping Certificate (NEW – Process Trust),Safe location / Meet-at-store,Verified platform / official brand,Price quote matches final value,Customer support",,"Data theft / privacy,Payment delay,Negotiation stress,Fraudulent buyer,Low price",,2,,,,,,,,1,3,,,
Delhi NCR,,Male,18–25,Single,"Refrigerator,Washing Machine,AC,PC / Laptop,Car,2-Wheeler,Smartphones",Graduate / PG – General,Student,>₹2L,Samsung galaxy s25 ultra ,F,6,Cashify,No,Cashify,,TV ad,,,,,,,,,,,,Heard a little but never considered using it,Heard a little but never considered using it,Heard a little but never considered using it,Heard a little but never considered using it,Heard a little but never considered using it,Heard a little but never considered using it,Heard a little but never considered using it,Heard a little but never considered using it,Heard a little but never considered using it,I might consider it,I might consider it,I might consider it,I might consider it,I might consider it,I might consider it,I might consider it,I might consider it,I might consider it,5,6,5,5,5,5,5,4,5,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,App rating/reviews,,Low price,,1,2,,,,,,,,,,,3
Mumbai,,Female,26–35,Single,"AC,2-Wheeler",Graduate / PG – General,Student,₹75k–1L,Vivo V6,F,6,Olx,Flipkart Amazon Facebook ,"Cashify,OLX,Quickr,Flipkart reset",,Google search,"TV ad,Google search,Social media ad (Instagram/Facebook),Offline store","TV ad,Google search,Offline store","Google search,Social media ad (Instagram/Facebook)",,,,,,,,,Have considered using it but never used,Heard a lot but never considered using it,Heard a lot but never considered using it,Heard a little but never considered using it,Never heard of it,Never heard of it,Never heard of it,Heard a little but never considered using it,Heard a lot but never considered using it,I might consider it,I would seriously consider it,I might consider it,I might consider it,I would not consider it,I might consider it,I might consider it,I might consider it,I might consider it,5,7,6,3,2,0,0,1,4,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Instant payment,Technician checks phone in front of me (NEW – Transparency Trust),Verified platform / official brand,No negotiation,App rating/reviews,Buyback guarantee",,"Data theft / privacy,Payment delay,Negotiation stress,Fraudulent buyer",,,,,,,3,,2,1,,,,
Tier-2 / Tier-3 (Specify),Bhopal,Female,18–25,Single,Smartphones,SSC/HSC,Student,>₹2L,Iphone 15,F,6,Olx,None,OLX,,,"TV ad,YouTube review/Unboxing",,,,,,,,,,,Never heard of it,Heard a lot but never considered using it,Never heard of it,Never heard of it,Never heard of it,Never heard of it,Never heard of it,Heard a little but never considered using it,Never heard of it,I might consider it,I would seriously consider it,I might consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,I might consider it,I would not consider it,1,8,5,1,0,0,3,5,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Technician checks phone in front of me (NEW – Transparency Trust),Verified platform / official brand,Customer support,Buyback guarantee",,"Stranger coming home,Payment delay,Low price",,,,,,,,,,,,,,
Delhi NCR,,Male,18–25,Single,"Refrigerator,Washing Machine,AC,PC / Laptop,Car,2-Wheeler,Smartphones",Graduate / PG – General,Student,>₹2L,iphone15,F,6,"Exchange on Flipkart/Amazon, while buying a new phone",Cashify,"Cashify,OLX,Quickr,Amazon Exchange,Flipkart Exchange",,Social media ad (Instagram/Facebook),Social media ad (Instagram/Facebook),Social media ad (Instagram/Facebook),,,,,"Social media ad (Instagram/Facebook),Offline store","Social media ad (Instagram/Facebook),Offline store",,,,Have considered using it but never used,Have used it to sell an old device but it was sometime back.,Have considered using it but never used,Heard a lot but never considered using it,Heard a lot but never considered using it,Heard a lot but never considered using it,Heard a lot but never considered using it,Have used it to sell an old device but it was sometime back.,Have used it to sell an old device but it was sometime back.,I might consider it,I might consider it,I might consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,It would be my first choice,It would be my first choice,9,9,9,4,4,4,4,10,10,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Formal Data Wiping Certificate (NEW – Process Trust),Price quote matches final value",,"Data theft / privacy,Payment delay,Fraudulent buyer,Low price",,3,,,,,1,,,2,,,,
Ahmedabad,,Male,46+,Married,"Refrigerator,Washing Machine,AC,PC / Laptop,Car,Smartphones",Graduate / PG – Professional,Working (full-time),>₹2L,Apple 13,F,6,Cashify,No,Cashify,,Google search,,,,,,,,,,,,Have used it to sell an old device but it was sometime back.,Heard a lot but never considered using it,Heard a lot but never considered using it,Never heard of it,Never heard of it,Never heard of it,Never heard of it,Never heard of it,Never heard of it,I would seriously consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,10,0,0,0,0,0,0,0,0,Yes,To upgrade to a new phone immediately,,Online,Cashify,,,4,5,,1,3,,2,,,,,,,,,,,,,,,,,,"Instant payment,Technician checks phone in front of me (NEW – Transparency Trust),Verified platform / official brand,Price quote matches final value,Customer support",,"Data theft / privacy,Payment delay,Negotiation stress,Fraudulent buyer,Low price",,1,,,,,,,2,3,,,,
Delhi NCR,,Female,26–35,Married,"Refrigerator,Washing Machine,AC,PC / Laptop,Car,Smartphones",Graduate / PG – Professional,Working (full-time),>₹2L,iPhone 15 Pro,F,6,"Cashify, OLX, Local reseller",None,"Cashify,OLX,Other (specify)",Local reseller ,Google search,Google search,,,,,,,,Offline store,Local reseller,,Heard a lot but never considered using it,Heard a lot but never considered using it,Heard a little but never considered using it,Never heard of it,Never heard of it,Never heard of it,Never heard of it,Never heard of it,Never heard of it,It would be my first choice,It would be my first choice,I might consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,I might consider it,I would not consider it,8,9,8,4,2,1,1,4,4,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Instant payment,Technician checks phone in front of me (NEW – Transparency Trust),Safe location / Meet-at-store,App rating/reviews",,"Stranger coming home,Payment delay,Fraudulent buyer,Low price",,,1,,,,,2,,,,3,,
